label,text,wakati_text
-1.0,"RT @mugenhouei2: ドイツ鉄道、グレタさんにツイッターで応酬　「混雑し過ぎ」と形容され https://t.co/H4KXz1hONQ @cnn_co_jpさんから
思い通りにならないと貶す、当たる。単にイキってるだけのガキだわな。
それとも精神障害か？甘やかす側…",さん 思い通りだ なる ない 貶む する 当たる イキだ る ガキ 精神 障害 甘やかす 側
-1.0,"RT @nanashinoyukoku: グレタさん、またまたバレた。

グレタ「帰りの列車は床に座ってた」と画像をTwitterに投稿⇒ドイツ鉄道「ファーストクラス(１等車)に座っていた」
ネット「バレタwww」「無慈悲なドイツ鉄道www」 https://t.co/ThY4…",グレタ さん バレる グレタ 帰り 列車 床 座る たい 画像 投稿 ドイツ 鉄道 １ 等 車 座る いる ネット 無慈悲だ ドイツ 鉄道
1.0,RT @toshi9monsters: グレタさん叩きをしている人の方がきーきー言ってるように見えると言う事実www,グレタ さん 叩き する いる 人 方 きく 言う る 見える 言う
-1.0,"世界中が粗探しをしてるから感謝するところは感謝しておかないとフェイクニュース扱いになって誰からも信用されなくなる

 グレタさん「帰りは超満員電車」 ドイツ鉄道が応酬  https://t.co/UrsUX9WKdS",世界 中 粗探し する る 感謝 する ところ 感謝 する おく ない 扱い なる 誰 信用 する れる ない なる グレタ さん 帰り 満員 電車 ドイツ 鉄道 応酬
1.0,RT @akama58250735: グレタさん効果なのか、環境問題に多くの人が関心を持っているのは素晴らしい事です。しかしこういった事情が殆ど知られる事無く、皆が心の中に漠然と作り出した「悪者」を叩いている状況には危機感を覚えます。,グレタ さん 効果 環境 問題 多く 人 関心 持つ いる の 素晴らしい 事 事情 知る れる 事 無い 心 中 漠然たる 作る 出す 悪者 叩く いる 状況 危機 感 覚える ます
-1.0,グレタさんを盾に取って批判封じを狙う大人もワルですが、しょせんは雑魚。あくまで、巨悪はグレタさんです。したがって、手を緩めることなく全力で彼女を（主張で）ぶん殴り続けるべきです。「さすがに叩かれ過ぎ」「かわいそう」などの迷いが生じていませんか？　それは、まさに彼女の術中ですよ。 https://t.co/VDcHNjO8lS,グレタ さん 盾 取る 批判 封じ 狙う 大人 ワルだ しょせん 雑魚 巨悪 グレタ さん 手 緩める こと ない 全力 彼女 主張 殴る 続ける 叩く れる 過ぎる かわいそうだ 迷い 生ずる いる ます 彼女 術中
1.0,いい大人がグレタさんを貶めようと必死になって恥ずかしくないのかね。,いい 大人 グレタ さん 貶める 必死だ なる 恥ずかしい ない
1.0,"なるほど。
 
「男性たちが女性、特に年下の女性にやたらといろいろ説明したがる本能も、イライラさせるのかもしれないとする。」

「なぜ、いい年した男の人がグレタさんに反発」　茂木健一郎氏がツイッターで持論展開（J-CASTニュース） https://t.co/HCQicWFrUX",男性 たち 女性 年下 女性 やたらだ 説明 する がる 本能 する せる しれる ない する いい 年 する 男 人 グレタ さん 反発 茂木 健一郎 氏 ツイッター 持論 展開 ニュース
1.0,"グレタさんの件、色々と矛盾多かったりな所あるけど行動してる子供を大勢の匿名の大人たちがけなしたり馬鹿にしてるのなんか腹立つ。どっちが子供なんだか....ってなる。

今回はグレタさんが悪いけど。",グレタ さん 件 矛盾 多い ない 所 ある 行動 する る 子供 大勢 匿名 大人 たち けなす 馬鹿だ する る の 腹立つ 子供 なる 今回 グレタ さん 悪い
-1.0,"ドイツ鉄道、グレタさんにツイッターで応酬　「混雑し過ぎ」と形容され（https://t.co/EQqhLtBtfC）
自分の考えとか姿勢は確立されてるんだろうけど、こういうの見るとどうしても裏で大人達に操られてるんだろなあと思わざるを得ない
クロちゃんの嘘ツイートレベル() https://t.co/7lemKm270Z",ドイツ 鉄道 グレタ さん ツイッター 応酬 混雑 する 過ぎる 形容 する れる （） 自分 考え 姿勢 確立 する れる る 見る 裏 大人 達 操る れる る 思う 得る ない クロちゃん 嘘
1.0,まあグレタさんがファーストクラス車乗ってたからって、だから何だよね。バカは揚げ足取りやあら探しで何か大層なこと言った気になるからな。,グレタ さん ファースト クラス 車 乗る たい 何 バカだ 揚げ 足取り あら探し 何 大層だ こと 言う 気 なる
-1.0,RT @6d745: グレタさんが中国にもアグレッシブに当たって行く人なら、わたしも応援するんだけどな。相手を選ぶところも、萌え絵には抗議するが、男性器を切り刻む画像を送りつけるような実在のハラスメントにはスルーなフェミニストみたいなのよね。。,グレタ さん 中国 アグレッシブだ 当たる 行く 人 わたし 応援 する 相手 選ぶ ところ 萌え 絵 抗議 する 男性 器 切る 刻む 画像 送る つける 実在 ハラスメント スルー フェミニスト
1.0,"RT @don_jardine: 茂木健一郎「なぜ、いい年した男の人がグレタさんに反発するのだろう？」

男に限らずグレタさん問題に苛立っている人が多いのは、この手の人物が重要なエネルギーの議論を「いい年した男ｖｓ少女」という陳腐な対立図式にすり替え彼女の主張の是非を具に論じよ…",茂木 健一郎 いい 年 する 男 人 グレタ さん 反発 する 男 限る グレタ さん 問題 苛立つ いる 人 多い の 手 人物 重要だ エネルギー 議論 いい 年 する 男 ｖｓ 少女 いう 陳腐だ 対立 図式 する 替える 彼女 主張 具 論じる
-1.0,"@sonkoubun 下地ミキオとやら。お前さんどんな知的レベルなんだ？
グレタがいつ科学的データに基づく根拠を示した？
CO2が目視出来るとか、自分に従わない人間は粛正するっていってる洗脳されたクソガキだぞ！
何が凄いんだ？",下地 ミキオ お前 さん 知的だ レベル グレタ いつ 科学 的だ データ 基づく 根拠 示す 2 目 視 出来る 自分 従う ない 人間 粛正 する いう る 洗脳 する れる クソガキ 何 凄い
-1.0,グレタさんの電車のやつ、ここまで、自演乙wwwって流れも早々ないなって思った。,グレタ さん 電車 やつ 自演 乙 流れ ない なる 思う
1.0,"なんというか、まだ子供ですしね。

自分の世界が見えるすべてで、それをわかってもらいたくて世界的な問題みたいに風呂敷広げる。

広げすぎてこういうこともする。

まぁ、首を絞めすぎないようにしてください🤤

「グレタさん「帰りの列車は超満員」 ドイツ鉄道が応酬」  https://t.co/yWvyE1EjPt",子供 自分 世界 見える わかる もらう たい 世界 的だ 問題 風呂敷 広げる 広げる すぎる こと する 首 絞める すぎる ない する くださる グレタ さん 帰り 列車 満員 ドイツ 鉄道 応酬
-1.0,&gt;RT これらのツイートを合わせて考えると、グレタさんの周囲には彼女のことを考えず彼女を使い倒そうとする過激でヤバイ大人がいるということなんだと思う。,こ れ ら ツイート 合わせる 考える グレタ さん 周囲 彼女 こと 考える 彼女 使う 倒す する 過激だ ヤバイ 大人 いる いう こと 思う
-1.0,"実際は技術屋だったり経済関係の方が環境問題に対して真摯に取り組んでる感じするよねー。浅い知識で環境問題どうにかしろって言ってる奴らはそういう勉強だったり研究頑張った方が有意義だよ。

 グレタさん「帰りは超満員電車」 ドイツ鉄道が応酬  https://t.co/21UkmVBB6b",技術 屋 経済 関係 方 環境 問題 対する 真摯だ 取り組む る 感じる する 浅い 知識 環境 問題 する 言う る 奴 ら 勉強 研究 頑張る 方 有意義だ グレタ さん 帰り 満員 電車 ドイツ 鉄道 応酬
-1.0,@zamamiyagarei そんな話じゃない、単にCO2が原因であると言う風潮に否定的だと言う意見は多数ある、彼女の断定的な言い方と、少女であると言うポリコレで反論を許さぬと言う姿勢が間違っている、要は内容に結びつかない、受け付けないグレタさん側を推す姿勢に疑問を感じているだけの話,話 ない 単 2 原因 言う 風潮 否定 的だ 言う 意見 多数 ある 彼女 断定 的だ 言い 方 少女 言う 反論 許す 言う 姿勢 間違う いる 内容 結びつく ない 受け付ける ない グレタ さん 側 推す 姿勢 疑問 感じる いる 話
-1.0,グレタさん、ドイツの電車でぐれた発言を投稿して炎上しかけてるやんw,グレタ さん ドイツ 電車 ぐれる 発言 投稿 する 炎上 する かける る やん
-1.0,グレタさんには二酸化炭素を沢山排出しているインドに是非行ってもらいたいね,グレタ さん 二 酸化 炭素 排出 する いる インド 行く もらう たい
1.0,"RT @FIFI_Egypt: ★TIME誌の今年の顔にグレタさん、環境保護の意識は益々高まっています。COP25での小泉環境大臣の発言も注目されていましたが、環境問題に今後日本はどう取り組むべきか？フィフィが解説。動画をご覧頂き、皆様のご意見もお聞かせ下さい。
チャンネル登録…",誌 今年 顔 グレタ さん 環境 保護 意識 高まる いる ます 25 小泉 環境 大臣 発言 注目 する れる いる ます 環境 問題 今後 日本 取り組む フィフィ 解説 動画 ご覧 頂く 皆様 意見 聞く せる 下さる チャンネル 登録
-1.0,"ドイツ鉄道のグレタさんへの皮肉最高ですわ。こういうのって海外尖ってるよなぁ。
で、この大人に祀り上げられて、自分が正しいヒーローになった気持ちで、自分の意志と疑わず、話題になってる彼女を見ると、ゆだぽんだかそんな奴思い出すけど、彼は今どうなってるんだろうな。
興味ないけど",ドイツ 鉄道 グレタ さん 皮肉だ 最高だ の 海外 尖る る 大人 祀る 上げる られる 自分 正しい ヒーロー なる 気持ち 自分 意志 疑う 話題 なる る 彼女 見る ゆだ ぽん 奴 思い出す 彼 今 なる る 興味 ない
1.0,"グレタさんはなあ
被害者だと思うわ",グレタ さん 被害 者 思う
-1.0,"グレタさんとやらは
どこぞの国で指導者になってから
同じことを言えやと
常々思っています

ちなみに日本には
鳩山由紀夫
という前例があります",グレタ さん 国 指導 者 なる 同じだ こと 言える 思う いる ます 日本 鳩山 由紀夫 いう 前例 ある ます
1.0,グレタさんの話題だとみんな面白がって「子供子供」って言うけど多分グレタさんアンタらより数倍教養あるよ。 https://t.co/shTvPRRxg9,グレタ さん 話題 面白い がる 子供 子供 言う グレタ さん アンタ ら 数 倍 教養 ある
-1.0,ひろゆきが環境活動家グレタさんに「パフォーマンスで注目を集めて、主張を安価に届けるってのは優秀ですよね」https://t.co/dz51ay1Rc9,ひろゆき 環境 活動 家 グレタ さん パフォーマンス 注目 集める 主張 安価だ 届ける う の 優秀だ
-1.0,"グレタさん
どう見ても超満員でもない
ガラガラの通路でプロモーションの撮影をして

見かねたドイツ鉄道さんが
ファーストクラスの席を用意したって

やってることは、ゆすり・たかり

事前に指定席を自分で買っておきましょう

これは人間として当たり前のことです",グレタ さん 見る 満員 ない ガラガラ 通路 プロモーション 撮影 する 見る かねる ドイツ 鉄道 さん ファースト クラス 席 用意 する やる る こと ゆする たかり 事前 指定 席 自分 買う おく ます 人間 する 当たり前だ こと
-1.0,"ドイツ鉄道、グレタさんにツイッターで応酬　「混雑し過ぎ」と形容され（https://t.co/8arNIfChSv） - Y!ニュース
活動家なんて結局こんなんもんだ https://t.co/CNywzyE1st",ドイツ 鉄道 グレタ さん ツイッター 応酬 混雑 する 過ぎる 形容 する れる （） ニュース 活動 家 こんなんだ もん
-1.0,RT @strueno_ncp131: グレタさんがやってること全てが悪いとは思わないけど、本当に環境を大切にするのなら「絶対に飛行機には乗らない！飛行機は悪！」って言うより「すみません、なるべく環境に優しい飛行機を使ってます」のほうが世の中の飛行機を利用している人たちからも共…,グレタ さん やる る こと 悪い 思う ない 本当だ 環境 大切だ する 飛行機 乗る ない 飛行機 悪 言う 環境 優しい 飛行機 使う ます ほう 世の中 飛行機 利用 する いる 人 たち 共
-1.0,グレタさんには、日本の満員電車を体現して欲しいと思う。 / 1件のコメント https://t.co/2O2HxYUFCC “ドイツ鉄道 グレタさんに皮肉 - Yahoo!ニュース” (1 user) https://t.co/NUipq6lPnp,グレタ さん 日本 満員 電車 体現 する 欲しい 思う 件 コメント ドイツ 鉄道 グレタ さん 皮肉だ ニュース 1
1.0,みんな大好きグレタさん,大好きだ グレタ さん
1.0,"グレタさんをdisってる方々は、中高年の男性。何が気に入らないのか不思議。
何がどうあれ、あそこまで行動を伴うブレない主張ができるグレタさんは素敵❣️",グレタ さん る 方々 中高年 男性 何 気に入る ない 不思議だ 何 ある 行動 伴う ブレる ない 主張 できる グレタ さん 素敵だ
1.0,それはそうとグレタさんの例の写真めっちゃ好きなんやが分かりますか,グレタ さん 写真 めっちゃ 好きだ 分かる ます
1.0,"RT @satoumame45: ドイツ鉄道 グレタさんに皮肉 - Yahoo!ニュース
大人気ない人ばっかりで苦笑。なんだろ、自分より年下の女の子に社会問題を強く言われるのは癪に触るのかな。子どものくせに大人に逆らわないで学校に行け、みたいな。だんだんステージがずれてきたもん…",ニュース 大人気ない 人 苦笑 自分 年下 女の子 社会 問題 強い 言う れる の 癪だ 触る 子ども くせ 大人 逆らう 学校 行く ステージ ずれる くる もん
1.0,グレタさんアンチ日本にも多いけどワシは最高にロックだと思う👍グレタさん好きよ…,グレタ さん アンチ 日本 多い ワシ 最高だ ロック 思う グレタ さん 好きだ
1.0,@kei_Houdini @afpbbcom グレタさん、いいよね。,グレタ さん いい
1.0,はじめはグレタさん好きじゃなかったけど段々とほぼ言いがかりみたいなくだらない文句つけられるようになっててかわいそうだと思うようになった,はじめ グレタ さん 好きだ ない 言いがかり くだらない 文句 つける られる なる る かわいそうだ 思う なる
-1.0,"床に座れるのに超満員とはこれやいかに…
 グレタさん「帰りの列車は超満員」 ドイツ鉄道が応酬  https://t.co/pB6OrM02h7",床 座れる 満員 グレタ さん 帰り 列車 満員 ドイツ 鉄道 応酬
-1.0,グレタさんが早朝ラッシュの高崎線の車内便所に座って「電車混みすぎ」なら納得できたわ。非難は避けられんが。,グレタ さん 早朝 ラッシュ 高崎 線 車 内 便所 座る 電車 混み すぎ 納得 できる 非難 避ける られる
-1.0,"コレに対して『学校行け』と苦言を呈する人が多いが、ちょっと待ってくれ。
こんなのクラスメイトになりたくない（あるいはなって欲し.. https://t.co/MRdXqXoxPq

「環境問題に取り組むグレタさん「超満員電車で帰るところです」と床に座ってる写真..」https://t.co/WPbVzK2XJi にコメントしました。",コレだ 対する 学校 行く 苦言 呈する 人 多い 待つ くれる クラス メイト なる たい ない なる 欲 環境 問題 取り組む グレタ さん 満員 電車 帰る ところ 床 座る る 写真 コメント する ます
1.0,グレタさんのガチツイートしてるけど、ネタになる感じおもろい,グレタ さん する る ネタ なる 感じ おもろい
1.0,RT @Bo_San_2D: @mikioshimoji グレタさんは『中国によるCO2排出量へのスルー力が』すごい人,グレタ さん 中国 よる 2 排出 量 スルー 力 すごい 人
1.0,俺はグレタさん好きやで。面白いから。,俺 グレタ さん 好きだ 面白い
1.0,"RT @naohiro3rds: ほんとだ
グレタさんの話に食いついてんのオッサンしかいないじゃん
なんだ",ほん グレタ さん 話 食いつく オッサン いる ない
-1.0,"RT @aki8ara: @6d745 日本でも、グレタさんを批判すると、
「10代の少女に大人がなんて口を」
という言い方で批判してくる人間は多い。結局、未成年を隠れ蓑のしているだけに見える。
今度は10才未満を出して来た。少年少女に爆弾括りつけるテロリストとやり方は同じ",日本 グレタ さん 批判 する 10 代 少女 大人 口 いう 言い 方 批判 する くる 人間 多い 成年 隠れ蓑 する いる 見える 今度 10 才 未満 出す 来る 少年 少女 爆弾 括りつける テロリスト やり 方 同じだ
1.0,RT @tama003: グレタさんは胡散臭い所もあるけど、変に持ち上げるメディアは無視して、生暖かい目で見守ればいいんじゃないのかな,グレタ さん 胡散臭い 所 ある 変だ 持つ 上げる メディア 無視 する 生暖かい 目 見守る いい ない
-1.0,@DEVICE_Fukuoka グレタさんがバレタさんになりつつある？？,グレタ さん さん なる ある
-1.0,RT @LALALION8: グレタさんの件、既視感すごいと思ったら、歩いて帰るってツイートしてタクシー使うクロちゃんだわこれ,グレタ さん 件 既視感 すごい 思う 歩く 帰る ツイート する タクシー 使う クロちゃん
1.0,"ecoは金になる！

グレタさん「帰りの列車は超満員」 ドイツ鉄道とツイッターで小競り合い https://t.co/eZAzG1v6Cu",金 なる グレタ さん 帰り 列車 満員 ドイツ 鉄道 ツイッター 小競り合い
-1.0,グレタさんのプロがとったであろう写真を見て、インフルエンサーがこの写真は16歳が自撮りしただけで、プロのものじゃない！っていうのは流石に無理がありすぎる...egs投資...高騰...大儲けって感じだね...。,グレタ さん プロ とる 写真 見る 写真 16 歳 自 撮り する プロ もの ない いう の 無理 ある すぎる 投資 高騰 大儲け 感じ
-1.0,「グレタさんを批判するのは日本のおっさんだけ」とは何だったのか…,グレタ さん 批判 する の 日本 おっさん 何
1.0,"汚い大人達が揚げ足ばっか
とるんじゃないよ。
みっともない。
グレタさん叩かないであげてよ。",汚い 大人 達 揚げ足 とる ない みっともない グレタ さん 叩く あげる
1.0,"RT @suuzanantonko: グレタさん「帰りの列車は超満員」 ドイツ鉄道とツイッターで小競り合い　写真10枚　国際ニュース：AFPBB News
人間、日頃の行いが大事だといういい例。 https://t.co/QJe3XcwFY4",人間 日頃 行い 大事だ いう いい 例
-1.0,"グレタが身に着けてる服や小物、旅行バッグ類に化学繊維が大量に使われてるように見えるんだが、そのへんはどう言い訳するのかな？

グレタさん「帰りの列車は超満員」  ドイツ鉄道とツイッターで小競り合い https://t.co/V3Mn0aTQKt @afpbbcomさんから",グレタ 身 着ける る 服 小物 旅行 バッグ 類 化学 繊維 大量だ 使う れる る 見える そのへん 言い訳 する グレタ さん 帰り 列車 満員 ドイツ 鉄道 ツイッター 小競り合い さん
1.0,@lTfC8qI4PATLiaC この荷物と共にグレタさんを席に座れるように「ファーストクラスでおもてなし」したのならドイツの鉄道員はさぞかし「有能」なのでしょう。,荷物 グレタ さん 席 座れる ファースト クラス もてなし する ドイツ 鉄道 員 有能だ
-1.0,噓つきグレタさん。,つき グレタ さん
-1.0,グレタさんただのクソガキやん,グレタ さん クソガキ やん
-1.0,"【こえぇｗ】グレタさん、自分に従わない指導者は「against the wall」(壁際に立たせる=銃殺刑)　大炎上、謝罪｜もえるあじあ(･∀･) https://t.co/CaCUnoIqYp
こいつらヴィーガンに権力与えすぎたら近いうちに戦争を起こすぞ
絶対に軍事力には近づけるな",こわい グレタ さん 自分 従う ない 指導 者 壁際 立つ せる 銃殺 刑 大 炎上 謝罪 もえる あじ ある こいつ ら ヴィーガン 権力 与える すぎる 近い うち 戦争 起こす 軍事 力 近づける ない
1.0,グレタさん嘘ばらされてキュートじゃないか https://t.co/UkYK8mVYMn,グレタ さん 嘘 ばらす れる キュートだ ない
-1.0,"RT @Nezmi_san: 3年前に「グローバルユースサミット」を開催した大人たち、グレタさんをリーダーと決め、そして「学校ストライキ」を推進する大人たち、その裏にいる石油資本の財団、マーシャルプランの財団たち。

決してマスゴミは触れない。何故なら彼らがマスゴミを支配してい…",3 年 前 グローバルだ ユース サミット 開催 する 大人 たち グレタ さん リーダー 決める 学校 ストライキ 推進 する 大人 たち 裏 いる 石油 資本 財団 マーシャル プラン 財団 たち マスゴミ 触れる ない 彼 ら マスゴミ 支配 してい
-1.0,"ホリエモンよりグレタさんは「760万倍賢い」―温暖化防止「飛び恥」の衝撃(志葉玲) - Y!ニュース https://t.co/ieRZH7IILf
顔がムカつく。",ホリエモン グレタ さん 760万 倍 賢い 温暖だ 化 防止 飛び 恥 衝撃 志葉 玲 ニュース 顔 つく
-1.0,"グレタさんってきちんとなんで嘘をついたのか説明しましたっけ？
まさかおサヨお得意の逆ギレでなんとかしようとしてます？",グレタ さん 嘘 つく 説明 する ます サヨ 得意だ 逆だ する する ます
-1.0,グレタさん、一番の二酸化炭素排出国である中国は批判しなかった時点でお察し下さいなのか？と感じた。,グレタ さん 二 酸化 炭素 排出 国 中国 批判 する ない 時点 察する 下さる 感じる
-1.0,"グレタ可愛いんやけどひねくれとるし推せない。

.
グレタさん「帰りの列車は超満員」 ドイツ鉄道とツイッターで小競り合い https://t.co/qn0J3D7CRF",グレタ 可愛い ひねくれる とる 推せる ない . グレタ さん 帰り 列車 満員 ドイツ 鉄道 ツイッター 小競り合い
1.0,"グレタさんみたいな人って出る杭だから人間が悪意を持って全力で落としに行く対象になりやすいんだよな

それでもドイツ鉄道は大人気ない
ドイツってそういうのないと思ってたのになんかガッカリ…",グレタ さん 人 出る 杭 人間 悪意 持つ 全力 落とす 行く 対象 なる やすい ドイツ 鉄道 大人気ない ドイツ ない 思う る
-1.0,"RT @g0Bzwq8BCek5s7M: @shiikazuo グレタさんの最大の敵は日本の８倍のCO2を排出する環境後進国中共の政府だと思います。
日本共産党さんと同じですね(^^)/",グレタ さん 最大だ 敵 日本 ８ 倍 2 排出 する 環境 後進 国 中 共 政府 思う ます 日本 共産党 さん 同じだ ね
-1.0,"@mikioshimoji グレタさんはただのお花畑🌼なだけ。
ただ演説するだけなら誰でも出来るんだよなー

大人に説教するぐらいなら、勉強して新エネルギー開発してよ",グレタ さん お花畑 演説 する 誰 出来る 大人 説教 する ぐらい 勉強 する エネルギー 開発 する
1.0,"「飛び恥」
ほんといい言葉だよ。
これからは飛行機に乗ることは恥なのだ。
世界中の大人たちはグレタさんを見習って欲しい。
#ClimateAction",飛び 恥 ほんとだ いい 言葉 飛行機 乗る こと 恥 世界 中 大人 たち グレタ さん 見習う 欲しい
1.0,@ikaryakuchan そりゃあ故郷に錦を飾って凱旋したいでしょうからね。グレタさんだって子供ですよ。,故郷 錦 飾る 凱旋 する たい グレタ さん 子供
1.0,グレタさんドジっ子みたいで可愛い,グレタ さん ドジ っ子 可愛い
-1.0,RT @liverave: @mikioshimoji 僕も中国に文句を全く言わないグレタさんは本当に凄い人だと思います,僕 中国 文句 言う ない グレタ さん 本当だ 凄い 人 思う ます
-1.0,"@free_andpeace だったら批判される権利もあるよ
グレタさん",批判 する れる 権利 ある グレタ さん
-1.0,"茂木健一郎氏「なぜいい年した男の人がグレタさんに反発？攻撃している男たちこそ彼女を見習うべき」 https://t.co/f4ZvE7PaGi
こんな奴が脳科学者とか 学問を疑っちゃう人が出て来るから 引っ込んでた方が良いよ",茂木 健一郎 氏 いい 年 する 男 人 グレタ さん 反発 攻撃 する いる 男 たち 彼女 見習う 奴 脳 科学 者 学問 疑う う 人 出る 来る 引っ込む 良い
-1.0,"グレタさんはツイートするとき語尾に「〜だしん」ってつけた方がよさそうやな。
#グレタトゥーンベリ",グレタ さん ツイート する とき 語尾 だしん つける 方 よい さ そうだ
-1.0,"グレタさん「帰りの列車は超満員」  ドイツ鉄道とツイッターで小競り合い https://t.co/1WltDtylG2 @afpbbcomさんから

☆猿はともかく猿回しの皆さんは印象が無駄に悪くならないよう少しは考えたほうがいいんじゃないかな。目立ちさえすればなんでもいいという段階はとうに過ぎてるでしょ。",グレタ さん 帰り 列車 満員 ドイツ 鉄道 ツイッター 小競り合い さん 猿 猿 回し 皆さん 印象 無駄だ 悪い なる ない よう 考える ほう いい ない 目立つ する いい いう 段階 過ぎる る
1.0,オタクがいくらグレタさんを罵倒しようが、グレタさんの方が良い生活してるんだよな,オタク グレタ さん 罵倒 する グレタ さん 方 良い 生活 する る
1.0,"長距離電車を乗り継いで、実際に座れないこともあった乗客のグレタさんが嘘ついてるみたいに誤解されたのがかわいそう。

ドイチェバーン、我もひどい目に何度も遭わされたから、奴らのあくどい神経は分かる！！！

あいつらのなってないサービスのせいで、悔しい思いをしたことを思い出した。",距離 電車 乗る 継ぐ 座れる ない こと ある 乗客 グレタ さん 嘘 つく る 誤解 する れる の かわいそうだ ドイチェバーン 我 ひどい 目 何度 遭う す れる 奴 ら あくどい 神経 分かる あいつ ら なる ない サービス せい 悔しい 思い する こと 思い出す
-1.0,"偽善者なんだよ、結局。
電気のない町で暮らしてみろよ。

ドイツ鉄道、グレタさんにツイッターで応酬　「混雑し過ぎ」と形容され（https://t.co/xdXHr0iISJ） https://t.co/JTdO05B1LX",偽善 者 電気 ない 町 暮らす みる ドイツ 鉄道 グレタ さん ツイッター 応酬 混雑 する 過ぎる 形容 する れる （）
-1.0,"こういう人たちって脇が甘いよね

「グレタさん「帰りの列車は超満員」 ドイツ鉄道が応酬」  https://t.co/95XJVfE55b",人 たち 脇 甘い グレタ さん 帰り 列車 満員 ドイツ 鉄道 応酬
-1.0,"グレタさんの両親はどう思ってるのかとwikiみたら両親は俳優とオペラ歌手で金持ちっぽいのだ。
この子の周りには諭す大人はいなかったのだ？とてもふしぎなのだ。",グレタ さん 両親 思う る み たら 両親 俳優 オペラ 歌手 金持ち っぽい 子 周り 諭す 大人 いる ない ふしぎだ
-1.0,@Fukadamoe カメラのファインダーの向こうには、出来過ぎたポーズのグレタさんの姿だけだけど、こちら側には環境利権に群がる胡散臭い大人たちが大勢居るんでしょうね。,カメラ ファインダ 向こう 出来る 過ぎる ポーズ グレタ さん 姿 側 環境 利権 群がる 胡散臭い 大人 たち 大勢 居る
-1.0,RT @hiwa1118: グレタさん、もうそろそろ実世界に戻るべきだし、周りの大人もそうすべき。ドイツ鉄道でのTwitterでもそうだけど、明らかに破綻している。彼女はもう十分役割を果たしたと思う。,グレタ さん 世界 戻る 周り 大人 する ドイツ 鉄道 明らかだ 破綻 する いる 彼女 十分だ 役割 果たす 思う
1.0,グレタさんは三つ編みツインテにして白シャツにオーバーオールを着せて麦わら帽子を被せれば結構似合いそうな気がする。,グレタ さん 三 つ 編み ツインテ する 白 シャツ オーバー オール 着せる 麦わら 帽子 被せる 似合う そうだ 気 する
1.0,グレタさん普通に面白いんだけど,グレタ さん 普通だ 面白い
